run,strategy,detection,d,I,pr,pm,cs,ni,im,N_lethal,N_min,T_min,N_inoc
6260,BR,ND,7,15,0.92969,0.647515,0.152403,10,3,69,0,82,5400
6261,BR,ND,7,20,0.885238,0.449587,0.124605,5,2,82,0,75,6400
6262,BR,ND,5,5,0.991285,0.421311,0.19524,2,3,101,100,59,360
6263,BR,ND,3,20,0.871739,0.699733,0.181188,10,2,157,0,84,12800
6264,BR,ND,5,20,0.868576,0.49321,0.238089,2,2,288,0,69,2560
6265,BR,ND,5,5,0.996265,0.659825,0.246336,3,3,199,199,54,540
6266,BR,ND,7,15,0.947657,0.696262,0.211922,10,2,177,0,85,9600
6267,BR,ND,7,5,0.922484,0.438447,0.207841,4,2,107,0,68,1280
6268,BR,ND,3,15,0.866857,0.675683,0.222618,14,3,151,0,92,7560
6269,BR,ND,7,15,0.919873,0.61714,0.209184,13,2,163,0,90,12480
6270,BR,ND,3,15,0.938888,0.50323,0.154254,5,4,31,0,71,1200
6271,BR,ND,5,15,0.921808,0.491877,0.271092,8,3,335,0,78,4320
6272,BR,ND,7,10,0.96129,0.694895,0.121547,11,2,57,0,85,7040
6273,BR,ND,7,20,0.959032,0.677865,0.295567,4,2,579,0,72,5120
6274,BR,ND,7,10,0.915827,0.528427,0.257024,14,4,297,297,54,2240
6275,BR,ND,7,10,0.885263,0.655561,0.172189,12,4,42,0,82,1920
6276,BR,ND,7,5,0.996132,0.488726,0.104199,14,2,17,0,87,4480
6277,BR,ND,3,20,0.985776,0.558531,0.19034,8,3,110,0,81,5760
6278,BR,ND,3,15,0.986066,0.591786,0.18577,8,2,125,0,81,7680
6279,BR,ND,5,20,0.878748,0.640894,0.239538,8,2,315,0,78,10240
6280,BR,ND,3,10,0.864898,0.639169,0.193178,11,2,112,0,84,7040
6281,BR,ND,5,20,0.962222,0.620497,0.271239,2,2,455,0,68,2560
6282,BR,ND,3,20,0.998469,0.686301,0.148481,5,4,47,47,54,1600
6283,BR,ND,7,20,0.970916,0.602692,0.260801,3,4,300,300,54,960
6284,BR,ND,5,15,0.913284,0.443681,0.257079,2,3,301,281,62,1080
6285,BR,ND,3,5,0.879042,0.659981,0.147771,8,4,29,29,54,640
6286,BR,ND,7,10,0.84115,0.501744,0.16893,5,3,71,0,72,1800
